timestamp,arena,klubs1,rezultars1,klubs2,rezultars2
2021-07-17 18:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,2,Riga FC,3
2021-09-22 18:00:00,Jāņa Skredeļa stadions,RFS,2,FK Liepāja,1
2021-07-24 17:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,BFC Daugavpils,3
2021-07-25 18:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,RFS,2
2021-07-25 20:00:00,Skonto stadions,FK Metta,0,Riga FC,1
2021-08-04 18:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,2,Valmiera FC,1
2021-07-31 19:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,2,FK Spartaks,1
2021-08-01 16:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,FK Liepāja,3
2021-08-01 20:00:00,Jāņa Skredeļa stadions,RFS,4,FK Metta,1
2021-09-15 18:00:00,Skonto stadions,Riga FC,7,BFC Daugavpils,1
2021-08-15 16:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,1,FK Liepāja,1
2021-08-16 17:30:00,Daugavas stadions,FK Metta,0,Valmiera FC,4
2021-08-16 17:30:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,3,FC Noah Jurmala,0
2021-09-29 19:40:00,Skonto stadions,Riga FC,1,RFS,1
2021-08-27 20:00:00,Jāņa Skredeļa stadions,RFS,2,BFC Daugavpils,0
2021-08-28 15:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,FK Metta,3
2021-08-28 17:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,3,FK Spartaks,0
2021-10-27 15:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,Riga FC,1
2021-09-11 14:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,Riga FC,3
2021-09-11 16:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,3,BFC Daugavpils,0
2021-09-12 14:00:00,Daugavas stadions,FK Metta,0,FK Liepāja,3
2021-09-12 16:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,RFS,1
2021-09-25 16:00:00,Skonto stadions,Riga FC,0,FK Liepāja,1
2021-09-26 14:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,RFS,3
2021-09-26 15:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,1,Valmiera FC,5
2021-09-26 16:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,FK Metta,0
2021-10-02 13:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,Valmiera FC,3
2021-10-02 13:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,Riga FC,1
2021-10-02 15:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,1,RFS,1
2021-10-02 17:30:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,2,BFC Daugavpils,2
2021-10-16 14:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,FK Liepāja,0
2021-10-16 16:00:00,Jāņa Skredeļa stadions,RFS,1,FK Spartaks,1
2021-10-17 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,3,FC Noah Jurmala,0
2021-10-17 16:00:00,Skonto stadions,Riga FC,1,FK Metta,1
2021-10-20 18:30:00,Jāņa Skredeļa stadions,FK Metta,2,RFS,5
2021-10-23 14:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,Valmiera FC,4
2021-10-23 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,3,Riga FC,0
2021-10-23 14:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,3,FC Noah Jurmala,0
2021-10-31 13:30:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,FK Metta,0
2021-10-31 13:30:00,Jāņa Skredeļa stadions,RFS,0,Riga FC,0
2021-10-31 13:30:00,"Stadions “Daugava”, Liepāja",FK Liepāja,3,BFC Daugavpils,1
2021-10-31 13:30:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,FK Spartaks,3
2021-11-06 13:30:00,Skonto stadions,Riga FC,-,Valmiera FC,-
2021-11-06 13:30:00,Daugavas stadions,FK Metta,3,FC Noah Jurmala,0
2021-11-06 13:30:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,-,FK Liepāja,-
2021-11-06 13:30:00,"Stadions ""Celtnieks""",BFC Daugavpils,-,RFS,-
